OBJECTID,AxeBrue_IDB_merged_140219_Snapped_OBJECTID,AxeBrue_IDB_merged_140219_Snapped_Water_leve,AxeBrue_IDB_merged_140219_Snapped_Owned_by,AxeBrue_IDB_merged_140219_Snapped_Operated_b,AxeBrue_IDB_merged_140219_Snapped_Watercours,AxeBrue_IDB_merged_140219_Snapped_Descriptio,AxeBrue_IDB_merged_140219_Snapped_X,AxeBrue_IDB_merged_140219_Snapped_Y,AxeBrue_IDB_merged_140219_Snapped_Lat,AxeBrue_IDB_merged_140219_Snapped_Long_,AxeBrue_IDB_merged_140219_Snapped_Source,AxeBrue_IDB_merged_140219_Snapped_Enabled,AxeBrue_IDB_merged_140219_Snapped_NEAR_FID,AxeBrue_IDB_merged_140219_Snapped_NEAR_DIST,AxeBrue_IDB_merged_140219_Snapped_NEAR_X,AxeBrue_IDB_merged_140219_Snapped_NEAR_Y,AxeBrue_IDB_merged_140219_Snapped_Dimensions,AxeBrue_IDB_merged_140219_Snapped_FID_1,AxeBrue_IDB_merged_140219_Snapped_Structure,AxeBrue_IDB_merged_140219_Snapped_structure_,AxeBrue_IDB_merged_140219_Snapped_Count_,AxeBrue_IDB_merged_140219_Snapped_AncillaryR,AxeBrue_IDB_merged_140219_Snapped_AncillaryRole,AxeBrue_IDB_merged_140219_Snapped_SnapDist,AxeBrue_IDB_merged_140219_Snapped_ForcedMove,AxeBrue_IDB_merged_140219_Snapped_SnapQual,AxeBrue_IDB_merged_140219_Snapped_SrchName,AxeBrueIDB_Sum_Output_OBJECTID,AxeBrueIDB_Sum_Output_FREQUENCY,AxeBrueIDB_Sum_Output_SiteID,DistFromLn,DistAlngLn,SiteID,FREQUENCY,OID_1,Object,SnapDist,ForcedMove,SnapQual,SrchName,US_Accum3,USLength,SUM_USLength,AvailUSNet
248,248,,,,,,343718,152185,,,AxeBrueIDB_structures+N,1,1027,4.784278225,343717.911,152180.2166,,144,UA28,Valve (Inlet),0,,,0,N,"Nearest Polyline, no name check",n/a,240,1,248,4.96543E-05,0.371447444,248,1,,248,0,N,"Nearest Polyline, no name check",n/a,18996.74023,17456.81641,0,17456.81641
241,241,,,,,,343094,152110,,,AxeBrueIDB_structures+N,1,346,1.688826959,343095.6805,152110.1675,,137,UA21,Penstock,0,,,0.149000004,Y,"Nearest Polyline, no name check",n/a,233,1,241,3.77425E-05,0.989998639,241,1,,241,0,N,"Nearest Polyline, no name check",n/a,17137.62891,17137.48047,0,17137.48047
139,139,,,,,,339182,140625,,,AxeBrueIDB_structures+N,1,1124,0.316919873,339182.0555,140625.312,,35,C01,Penstock,0,,,0,N,"Nearest Polyline, no name check",n/a,137,5,139,2.20201E-05,0.999647975,139,1,,139,0,N,"Nearest Polyline, no name check",n/a,16887.47461,16887.12695,0,16887.12695
245,245,,,,,,343020,152617,,,AxeBrueIDB_structures+N,1,795,0.056873381,343019.9774,152617.0522,,141,UA25,Penstock,0,,,0,N,"Nearest Polyline, no name check",n/a,237,1,245,8.95258E-06,0.007470529,245,1,,245,0,N,"Nearest Polyline, no name check",n/a,17492.6875,16553.85547,0,16553.85547
356,356,,,,,,341023,145888,,,AxeBrueIDB_structures+N,1,677,13.48966803,341024.0201,145901.451,,252,W17,Bund,0,,,0,N,"Nearest Polyline, no name check",n/a,345,8,356,4.22082E-05,0.27624023,356,1,,356,0,N,"Nearest Polyline, no name check",n/a,17131.87109,16525.68945,0,16525.68945
53,53,North Drain Pumping Station,EA,EA,North Drain,Pumping Station,339900,144850,51.199689,-2.8615569,North Drain,1,1126,5.326880294,339902.3492,144845.2191,Trench sheet dam stop-log structure.,,,,,,,0,N,"Nearest Polyline, no name check",n/a,53,3,53,8.61509E-06,0.028899398,53,1,,53,0,N,"Nearest Polyline, no name check",n/a,15882.74414,14177.88672,0,14177.88672
212,212,,,,,,339257,145972,,,AxeBrueIDB_structures+N,1,399,1.691818646,339257.8728,145970.5507,,108,M18,Penstock,0,,,0,N,"Nearest Polyline, no name check",n/a,205,1,212,3.21472E-05,0.998747051,212,1,,212,1.062000036,N,"Nearest Polyline, no name check",n/a,13761.36035,13761.09277,0,13761.09277
106,106,,,,,,340059,153992,,,AxeBrueIDB_structures+N,1,819,0.526040841,340058.5555,153991.7187,,2,AX03,Tilting Weir,0,,,0,N,"Nearest Polyline, no name check",n/a,104,1,106,8.57981E-06,0.013068705,106,1,,106,0,N,"Nearest Polyline, no name check",n/a,13500.48242,13193.33398,0,13193.33398
179,179,,,,,,336013,142316,,,AxeBrueIDB_structures+N,1,382,0.29360298,336012.925,142315.7161,,75,H25,Penstock,0,,,0,N,"Nearest Polyline, no name check",n/a,175,1,179,3.66099E-05,0.30650714,179,1,,179,0,N,"Nearest Polyline, no name check",n/a,14811.6875,12558.13184,0,12558.13184
211,211,,,,,,338006,145206,,,AxeBrueIDB_structures+N,1,1130,18.22455348,338017.7035,145192.03,,107,M17,Penstock,0,,,0,N,"Nearest Polyline, no name check",n/a,204,3,211,4.21796E-05,0.003640168,211,1,,211,0,N,"Nearest Polyline, no name check",n/a,13547.5127,12025.48926,0,12025.48926
230,230,,,,,,349677,145435,,,AxeBrueIDB_structures+N,1,444,0.822969298,349677.4211,145434.2929,,126,UA10,Valve (Inlet),0,,,0,N,"Nearest Polyline, no name check",n/a,222,1,230,2.25715E-05,0.591138661,230,1,,230,0,N,"Nearest Polyline, no name check",n/a,31991.93164,29312.24609,17665.05078,11647.19531
180,180,,,,,,336300,144613,,,AxeBrueIDB_structures+N,1,723,158.7527465,336416.4205,144720.9291,,76,H26,Penstock,0,,,0,N,"Nearest Polyline, no name check",n/a,176,1,180,3.48993E-05,0.286010146,180,1,,180,0,N,"Nearest Polyline, no name check",n/a,12286.4375,10648.34863,0,10648.34863
160,160,,,,,,332214,145956,,,AxeBrueIDB_structures+N,1,195,0.064155508,332213.9566,145955.9528,,56,H01,Penstock,0,,,0,N,"Nearest Polyline, no name check",n/a,158,1,160,3.53068E-05,0.994101405,160,1,,160,0,N,"Nearest Polyline, no name check",n/a,10186.57324,10184.45117,0,10184.45117
430,430,,,,,,333746,143809,,,AxeBrueIDB_structures+N,1,1050,87.76785466,333769.9201,143893.4454,,326,H44 (EA),Penstock,0,,,0,N,"Nearest Polyline, no name check",n/a,419,1,430,2.58844E-06,0.573871791,430,2,,430,0,N,"Nearest Polyline, no name check",n/a,9948.394531,9120.714844,0,9120.714844
197,197,,,,,,337973,148093,,,AxeBrueIDB_structures+N,1,95,0.697164681,337973.6964,148093.0326,,93,M01,Penstock,0,,,0,N,"Nearest Polyline, no name check",n/a,191,1,197,2.05966E-06,0.929104209,197,1,,197,0,N,"Nearest Polyline, no name check",n/a,7353.474121,7262.179199,0,7262.179199
303,303,,,,,,352650,135245,,,AxeBrueIDB_structures+N,1,1092,8.36781992,352654.8917,135251.7891,,199,UB55,Valve (Inlet),0,,,0,N,"Nearest Polyline, no name check",n/a,294,10,303,2.25958E-05,0.96712172,303,1,,303,0,N,"Nearest Polyline, no name check",n/a,32589.66992,32557.18555,25398.83008,7158.355469
