OBJECTID_12,OBJECTID,ObjectID_1,Water_leve,Grid_ref_,Owned_by,Operated_b,Watercours,Descriptio,X,Y,Lat,Long_,Source,Enabled,NEAR_FID,NEAR_DIST,NEAR_X,NEAR_Y,Dimensions,FID_1,Structure,structure_,Count_,AncillaryR,AncillaryRole,SnapDist,ForcedMove,SnapQual,SrchName
45,45,45,H26, ,LB IDB,LB IDB,Private ditch,Penstock,336300,144610,0,51.19714,South Drain,1,186,36.48691915,337437.794,143744.8228,,,,Penstock,,,,0.02,N,"Nearest Polyline, no name check",n/a
46,46,46,H31, ,LB IDB,LB IDB,Private ditch,Steel trench sheet bay,336100,144900,0,51.199725,South Drain,1,186,36.48691915,337437.794,143744.8228,,,,Unknown,,,,0.02,N,"Nearest Polyline, no name check",n/a
47,47,47,C01, ,LB IDB,LB IDB,Nidon Rhyne,Stop-logs,339180,140620,0,51.161581,South Drain,1,286,332.6524453,341137.9382,141601.4877,,,,Stoplogs,,,,0,N,"Nearest Polyline, no name check",n/a
48,48,48,C03, ,LB IDB,LB IDB,Nidon Brook,Stop-logs,337800,140910,0,51.16404,South Drain,1,186,36.48691915,337437.794,143744.8228,,,,Stoplogs,,,,0.02,N,"Nearest Polyline, no name check",n/a
49,49,49,C04, ,LB IDB,LB IDB,Nidon Rhyne,Vertical railway sleepers,340740,139990,0,51.156081,South Drain,1,286,332.6524453,341137.9382,141601.4877,,,,Unknown,,,,0,N,"Nearest Polyline, no name check",n/a
50,50,50,C05, ,LB IDB,LB IDB,Black Ditch,Stop-logs,340750,139990,0,51.156082,South Drain,1,286,332.6524453,341137.9382,141601.4877,,,,Stoplogs,,,,0,N,"Nearest Polyline, no name check",n/a
51,51,51,Whitehouse Drove, ,UB IDB,UB IDB,Heath Rhyne (Lower),Penning Boards,341650,143310,0,51.186024,South Drain,1,286,332.6524453,341137.9382,141601.4877,,,,Unknown,,,,0,N,"Nearest Polyline, no name check",n/a
52,52,52,Sharpham Road Feed Valve, ,Private,Private,Sharpham Road Rhyne,Valved feed pipe,346910,138700,0,51.145089,South Drain,1,393,58.22701065,346361.5851,137168.4605,,,,Unknown,,,,0,N,"Nearest Polyline, no name check",n/a
53,53,1,North Drain Pumping Station, ,EA,EA,North Drain,Pumping Station,339900,144850,51.199689,-2.8615569,North Drain,1,1126,5.326880294,339902.3492,144845.2191,Trench sheet dam stop-log structure.,,,Pumping Station,,,,0,N,"Nearest Polyline, no name check",n/a
54,54,2,North Drain Outfall, ,EA,EA,North Drain,Tidal Flap plus 3 tilting weirs,339920,144820,51.199421,-2.8612656,North Drain,1,1126,30.4184069,339906.5851,144847.3005,Trench sheet dam stop-log structure.,,,Tilting Weir,,,,0,N,"Nearest Polyline, no name check",n/a
55,55,3,North Drain Inlet, ,EA,EA,North Drain,Fixed weir and penning boards,349290,143960,51.192599,-2.7270501,North Drain,1,990,1.121071666,349288.8889,143959.8508,Trench sheet dam stop-log structure.,,,Weir,,,,0,N,"Nearest Polyline, no name check",n/a
56,56,4,Hurn Weir, ,EA,EA,River Sheppey,Penning boards,349360,143770,51.190897,-2.7260216,North Drain,1,990,3.056799558,349362.705,143771.4237,Trench sheet dam stop-log structure.,,,Unknown,,,,0,N,"Nearest Polyline, no name check",n/a
57,57,5,Lewis Drove Sluice/TW, ,EA,EA,North Drain,Tilting weir,346790,144670,51.198755,-2.7629276,North Drain,1,208,2.782879543,346792.6604,144669.1835,Trench sheet dam stop-log structure.,,,Tilting Weir,,,,0,N,"Nearest Polyline, no name check",n/a
58,58,6,Panborough Relief Channel Weir, ,EA,EA,Panborough Relief Channel,Fixed weir,346920,145420,51.20551,-2.7611784,North Drain,1,370,165.285692,346854.7392,145268.1435,Trench sheet dam stop-log structure.,,,Weir,,,,0,N,"Nearest Polyline, no name check",n/a
59,59,7,"Panborough Boards
(Blakeway Boards)", ,EA,EA,Panborough Drain,Stoplogs,344140,145280,51.203986,-2.8009459,North Drain,1,304,0.254458636,344139.7501,145280.0482,Trench sheet dam stop-log structure.,,,Stoplogs,,,,0,N,"Nearest Polyline, no name check",n/a
60,60,8,Hackness Sluice, ,EA,EA,River Brue,Large penstock,333230,146210,51.211174,-2.9572606,North Drain,1,1080,2.841718426,333230.9124,146212.6913,Trench sheet dam stop-log structure.,,,Penstock,,,,0,N,"Nearest Polyline, no name check",n/a
61,61,9,Highbeech Boards (Lower Godney Boards), ,EA,EA,River Sheppey,Penning boards,347130,142690,51.180984,-2.7577699,North Drain,1,990,4.77062019,347126.5581,142693.3034,Trench sheet dam stop-log structure.,,,Unknown,,,,0,N,"Nearest Polyline, no name check",n/a
62,62,10,Fenny Castle Gauging Station, ,EA,EA,River Sheppey,Gauging station ?,349830,143850,51.191658,-2.7193078,North Drain,1,991,5.343696723,349832.869,143854.5082,Trench sheet dam stop-log structure.,,,Unknown,,,,0,N,"Nearest Polyline, no name check",n/a
63,63,11,Ham Boards, ,EA,EA / Farmer,Decoy Rhyne,weir.,346960,142820,51.182137,-2.760221,North Drain,1,1129,2.988026455,346961.8703,142822.3303,Trench sheet dam stop-log structure.,,,Weir,,,,0,N,"Nearest Polyline, no name check",n/a
64,64,12,James Boards, ,EA,EA / Farmer,James Wear River,Penning boards,345510,142480,51.178944,-2.7809123,North Drain,1,981,5.506475895,345507.9845,142485.1244,Trench sheet dam stop-log structure.,,,Unknown,,,,0,N,"Nearest Polyline, no name check",n/a
65,65,13,Tealham RWLA S1, ,EA,EA,Non Main River,Penning boards,340830,145040,51.201494,-2.8482793,North Drain,1,307,4.032508649,340825.9866,145039.6082,Trench sheet dam stop-log structure.,,,Unknown,,,,0,N,"Nearest Polyline, no name check",n/a
66,66,14,Tealham RWLA S2, ,EA,EA,Non Main River,Penning boards,341140,145260,51.203504,-2.843879,North Drain,1,203,2.503045649,341139.3165,145257.5921,Trench sheet dam stop-log structure.,,,Unknown,,,,0,N,"Nearest Polyline, no name check",n/a
67,67,15,Tealham RWLA S3, ,EA,EA,Non Main River,Penning boards,341250,145440,51.205134,-2.8423342,North Drain,1,1127,21.66206467,341255.7618,145460.8817,Trench sheet dam stop-log structure.,,,Unknown,,,,0,N,"Nearest Polyline, no name check",n/a
68,68,16,Tealham RWLA S4, ,EA,EA,Non Main River,Penning boards,340960,144510,51.196743,-2.8463315,North Drain,1,307,81.64017786,340878.7054,144502.4959,Trench sheet dam stop-log structure.,,,Unknown,,,,0,N,"Nearest Polyline, no name check",n/a
69,69,17,Tealham RWLA S5, ,EA,EA,Non Main River,Penning boards,341160,144650,51.198022,-2.8434925,North Drain,1,419,200.9747775,341356.0024,144605.571,Trench sheet dam stop-log structure.,,,Unknown,,,,0,N,"Nearest Polyline, no name check",n/a
70,70,18,Tealham RWLA SL1, ,EA,EA,Non Main River,Penning boards,341480,145620,51.206776,-2.8390717,North Drain,1,400,4.650127896,341480.9798,145624.5457,Trench sheet dam stop-log structure.,,,Unknown,,,,0,N,"Nearest Polyline, no name check",n/a
71,71,19,Tealham RWLA SL2, ,EA,EA,Non Main River,Penning boards,340910,145570,51.206268,-2.8472218,North Drain,1,1127,11.80280754,340909.1948,145558.2247,Trench sheet dam stop-log structure.,,,Unknown,,,,0,N,"Nearest Polyline, no name check",n/a
